Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
546.7204,0.185404,-1.17549e-38,-1.17549e-38,0.00100343,0.0845151,0.00739975,-1.17549e-38,0.0318791,-1.17549e-38,-1.17549e-38,-1.17549e-38
547.2025,0.219393,-1.17549e-38,-1.17549e-38,0.00730535,0.0873956,-1.17549e-38,-1.17549e-38,0.0166744,-1.17549e-38,-1.17549e-38,-1.17549e-38
547.6846,0.241139,-1.17549e-38,-1.17549e-38,0.0133703,0.0806899,-1.17549e-38,-1.17549e-38,0.00496342,-1.17549e-38,-1.17549e-38,-1.17549e-38
548.1667,0.250241,-1.17549e-38,0.00725884,0.0193031,0.0638305,-1.17549e-38,-1.17549e-38,0.000726687,-1.17549e-38,0.0142287,-1.17549e-38
548.6489,0.248334,-1.17549e-38,0.0295556,0.0248949,0.0389689,-1.17549e-38,-1.17549e-38,0.00289861,-1.17549e-38,0.0275738,-1.17549e-38
549.131,0.237297,0.00196439,0.0429425,0.0296437,0.0109058,-1.17549e-38,-1.17549e-38,0.00659793,-1.17549e-38,0.035328,0.0020288
549.6131,0.218566,0.00932768,0.0411089,0.0326809,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00694629,-1.17549e-38,0.0385135,0.0135638
550.0952,0.193521,0.0169105,0.0226179,0.032876,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00276112,0.0322894,0.0409033,0.0268778
550.5773,0.163873,0.0224996,-1.17549e-38,0.0293907,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0732973,0.0468796,0.0413698
551.0594,0.131312,0.0252096,-1.17549e-38,0.0225425,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0951125,0.0590874,0.0532334
551.5416,0.0969733,0.0254326,-1.17549e-38,0.0143514,-1.17549e-38,0.00101199,-1.17549e-38,-1.17549e-38,0.0903469,0.0769518,0.0565693
552.0237,0.0619063,0.023877,-1.17549e-38,0.0081143,-1.17549e-38,0.00727906,-1.17549e-38,0.00643642,0.0607928,0.0966041,0.0464937
552.5058,0.0287062,0.020723,-1.17549e-38,0.00692416,0.0118005,0.0137878,0.0179155,0.0127511,0.0167286,0.112028,0.0222518
552.9879,0.00278459,0.0156529,-1.17549e-38,0.0118308,0.0371968,0.0180484,0.046687,0.014243,-1.17549e-38,0.116895,-1.17549e-38
553.47,-1.17549e-38,0.0086573,0.00326806,0.0208071,0.0596544,0.01756,0.0687941,0.0107979,-1.17549e-38,0.106567,-1.17549e-38
553.9521,-1.17549e-38,0.000841685,0.0212342,0.0294593,0.072692,0.0115118,0.0819116,0.00555169,-1.17549e-38,0.0798367,-1.17549e-38
554.4343,0.0238445,-1.17549e-38,0.0277287,0.0333741,0.0699649,0.00182598,0.0820221,0.00198965,-1.17549e-38,0.0399283,-1.17549e-38
554.9164,0.056783,-1.17549e-38,0.0232351,0.0306612,0.0478281,-1.17549e-38,0.0653005,0.00100297,0.0235938,-1.17549e-38,-1.17549e-38
555.3985,0.0853822,-1.17549e-38,0.0115061,0.0228299,0.00778178,-1.17549e-38,0.0323437,0.000342997,0.079009,-1.17549e-38,-1.17549e-38
555.8806,0.101855,-1.17549e-38,-1.17549e-38,0.0133611,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.124488,-1.17549e-38,-1.17549e-38
556.3627,0.107802,0.0064687,-1.17549e-38,0.00525092,-1.17549e-38,0.000112758,-1.17549e-38,-1.17549e-38,0.147833,-1.17549e-38,-1.17549e-38
556.8448,0.112688,0.0106932,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0111225,-1.17549e-38,-1.17549e-38,0.144069,-1.17549e-38,0.0171119
557.327,0.126836,0.00956758,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0193106,-1.17549e-38,-1.17549e-38,0.115526,0.00370889,0.040844
