Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
3123.6343,0.145102,0.567972,1.35888,2.26873,3.31601,4.15754,4.39369,3.98147,3.41148,2.99668,2.55123,2.18815,1.93562,1.987,1.87781,1.64258,1.86889,1.87617,2.31212,2.55237,2.99197,3.61119,4.07097,4.1266,3.76437,2.99436,2.27532,1.61756,0.882157
3124.1165,0.148432,0.57927,1.38477,2.29105,3.33988,4.16568,4.39155,3.96761,3.38553,2.9656,2.5246,2.16286,1.90535,1.9601,1.86045,1.62528,1.84607,1.85284,2.27867,2.5179,2.95276,3.57333,4.0486,4.11176,3.75819,3.00468,2.28933,1.63681,0.900839
3124.5986,0.152097,0.588413,1.41408,2.31598,3.36468,4.17162,4.38599,3.94981,3.36128,2.93402,2.49764,2.13647,1.87744,1.93397,1.84259,1.6055,1.82159,1.82907,2.24551,2.48404,2.9158,3.53212,4.02572,4.09719,3.7533,3.01268,2.30506,1.65399,0.920043
3125.0806,0.155456,0.596125,1.44459,2.34303,3.38913,4.17622,4.37829,3.9283,3.33724,2.90164,2.46944,2.10849,1.85198,1.9086,1.82276,1.58284,1.79547,1.80473,2.21227,2.44972,2.87969,3.48872,4.00088,4.08283,3.75006,3.01797,2.32316,1.6694,0.937684
3125.5627,0.158704,0.603705,1.47403,2.37102,3.4119,4.18097,4.37011,3.90443,3.31139,2.86859,2.44013,2.07891,1.82832,1.8836,1.80043,1.55791,1.76835,1.7794,2.17827,2.41446,2.84312,3.44468,3.97269,4.06846,3.74796,3.02059,2.34314,1.68398,0.952102
3126.0449,0.162593,0.612562,1.50101,2.39877,3.43242,4.18747,4.36251,3.88019,3.28233,2.83562,2.4109,2.04821,1.80546,1.85834,1.7762,1.53213,1.74141,1.75267,2.14331,2.37852,2.80536,3.40135,3.9403,4.0539,3.74594,3.02146,2.36329,1.69884,0.963084
3126.5271,0.167807,0.623757,1.52533,2.42568,3.45113,4.1967,4.35541,3.85737,3.25023,2.80384,2.38324,2.01721,1.78268,1.83237,1.75133,1.50714,1.71588,1.72453,2.10822,2.34256,2.76626,3.35945,3.90373,4.03891,3.74279,3.02228,2.3813,1.71473,0.972024
3127.009,0.174408,0.637691,1.54756,2.45162,3.46909,4.20842,4.34768,3.83683,3.21684,2.774,2.35786,1.98687,1.75982,1.80582,1.72697,1.48416,1.69251,1.69579,2.07472,2.30732,2.72585,3.31909,3.86389,4.02303,3.73752,3.02482,2.39542,1.73157,0.98114
3127.4912,0.18168,0.654008,1.56833,2.47646,3.48716,4.22097,4.33777,3.81823,3.18449,2.746,2.33407,1.95801,1.7372,1.77957,1.70361,1.46367,1.67138,1.66792,2.04446,2.27325,2.68422,3.28001,3.82239,4.00546,3.72965,3.02985,2.40522,1.74844,0.992314
3127.9734,0.188486,0.671658,1.58794,2.49984,3.50539,4.23188,4.32466,3.80024,3.15479,2.71873,2.30999,1.93126,1.71522,1.75486,1.68103,1.44537,1.65194,1.64243,2.01787,2.24042,2.64153,3.24182,3.78109,3.98528,3.71936,3.03676,2.4117,1.76398,1.00624
3128.4556,0.19388,0.689148,1.60647,2.52122,3.52306,4.23889,4.30845,3.7812,3.1277,2.69064,2.28351,1.90691,1.69395,1.73263,1.65874,1.4286,1.63339,1.62024,1.99371,2.20855,2.5984,3.20399,3.74156,3.962,3.70743,3.04393,2.41655,1.77701,1.02229
3128.9375,0.197627,0.704948,1.62401,2.54051,3.53926,4.24094,4.29042,3.75979,3.10168,2.66055,2.25327,1.88479,1.67299,1.7129,1.63647,1.41271,1.61502,1.6013,1.96962,2.17723,2.55598,3.16585,3.70445,3.93601,3.69494,3.04968,2.42124,1.78708,1.03904
3129.4197,0.200285,0.718043,1.64084,2.55835,3.55355,4.23848,4.27235,3.73541,3.07465,2.62829,2.2193,1.8642,1.65172,1.69481,1.61447,1.39742,1.5964,1.58487,1.9434,2.14615,2.51569,3.12659,3.66919,3.90864,3.68274,3.05317,2.42645,1.79478,1.05509
3129.9019,0.202837,0.72842,1.65728,2.57595,3.56619,4.2329,4.25574,3.70818,3.04513,2.59489,2.1829,1.84396,1.62981,1.67706,1.59324,1.38283,1.57748,1.57005,1.91426,2.11534,2.47857,3.08548,3.63425,3.88165,3.67114,3.05463,2.43221,1.80164,1.0697
3130.384,0.206083,0.737231,1.67349,2.59435,3.57792,4.22555,4.24114,3.67875,3.01286,2.5621,2.14613,1.82276,1.60759,1.65872,1.57327,1.36925,1.55862,1.55628,1.88323,2.08508,2.44478,3.04223,3.59786,3.8564,3.65984,3.05488,2.43837,1.80955,1.08303
3130.866,0.210193,0.746417,1.68944,2.61388,3.58942,4.21707,4.22803,3.64805,2.97878,2.53149,2.11109,1.7997,1.58594,1.6397,1.55464,1.35678,1.54043,1.54314,1.85241,2.05566,2.41352,2.99725,3.55899,3.83315,3.64814,3.05467,2.44503,1.81989,1.09588
3131.3481,0.214675,0.75789,1.70519,2.63407,3.60098,4.20751,4.2152,3.61713,2.94439,2.50377,2.07931,1.7747,1.56581,1.62055,1.53699,1.34512,1.5235,1.52999,1.82375,2.02699,2.38341,2.95157,3.51795,3.81104,3.63539,3.05416,2.45242,1.8328,1.10912
3131.8303,0.218762,0.772646,1.72112,2.65425,3.61264,4.19703,4.20138,3.58712,2.91108,2.47839,2.05139,1.74858,1.54767,1.60194,1.51969,1.33357,1.50793,1.51554,1.798,1.9985,2.3531,2.90658,3.47618,3.78851,3.62128,3.05287,2.46053,1.84696,1.12323
3132.3125,0.221945,0.790303,1.7379,2.67422,3.6244,4.18658,4.18578,3.55903,2.87977,2.45377,2.02682,1.72266,1.53122,1.58396,1.5022,1.32152,1.49303,1.49822,1.77445,1.96941,2.32164,2.86352,3.43541,3.76417,3.60591,3.0501,2.46873,1.86034,1.13806
3132.7944,0.224309,0.809352,1.75628,2.69437,3.63646,4.17784,4.16827,3.53337,2.85069,2.42796,2.00422,1.69812,1.51564,1.5661,1.48429,1.30893,1.47737,1.47704,1.75152,1.9393,2.28863,2.82303,3.39662,3.73747,3.58975,3.04528,2.47588,1.87127,1.15305
3133.2766,0.226458,0.828009,1.77668,2.71516,3.64894,4.17226,4.14921,3.50994,2.82353,2.39957,1.98188,1.67547,1.50005,1.5476,1.46624,1.2966,1.45938,1.45247,1.72768,1.90854,2.25402,2.78488,3.35957,3.70872,3.57333,3.0384,2.48098,1.8795,1.16759
3133.7588,0.229088,0.845151,1.79899,2.73637,3.66156,4.16998,4.12918,3.48775,2.79754,2.36834,1.95851,1.65448,1.48382,1.52815,1.44874,1.28573,1.43822,1.42647,1.70224,1.87825,2.21804,2.7481,3.32311,3.67875,3.55708,3.03004,2.48392,1.88623,1.18124
