"Wavelength, µm","n","k"
1.32734,1.40091,0.00000456344
1.32743,1.4009,0.00000449191
1.32751,1.4009,0.0000044242
1.3276,1.4009,0.00000436089
1.32768,1.4009,0.00000436937
1.32777,1.4009,0.00000433324
1.32785,1.4009,0.0000043046
1.32794,1.4009,0.00000428371
1.32802,1.4009,0.00000427083
1.32811,1.4009,0.00000426617
1.32819,1.4009,0.00000426993
1.32828,1.4009,0.00000427931
1.32836,1.4009,0.00000429458
1.32845,1.4009,0.00000431597
1.32853,1.4009,0.00000434359
1.32862,1.4009,0.00000437748
1.3287,1.4009,0.00000441756
1.32879,1.4009,0.00000446367
1.32887,1.4009,0.00000451557
1.32896,1.4009,0.00000457297
1.32904,1.4009,0.00000463557
1.32913,1.4009,0.00000470302
1.32921,1.4009,0.000004775
1.3293,1.4009,0.00000485125
1.32938,1.4009,0.00000493163
1.32947,1.4009,0.00000501609
1.32955,1.4009,0.00000510476
1.32964,1.4009,0.00000519782
1.32972,1.4009,0.00000529557
1.32981,1.4009,0.0000053983
1.32989,1.4009,0.00000550631
1.32998,1.40089,0.00000561986
1.33007,1.40089,0.00000573916
1.33015,1.40089,0.0000058643
1.33024,1.40089,0.00000599524
1.33032,1.40089,0.00000613176
1.33041,1.40089,0.00000627343
1.33049,1.40089,0.00000641453
1.33058,1.40089,0.00000655435
1.33066,1.40089,0.00000669209
1.33075,1.40089,0.00000682692
1.33083,1.40089,0.00000695803
1.33092,1.40089,0.00000708466
1.331,1.40089,0.0000072061
1.33109,1.40089,0.00000728776
1.33118,1.40089,0.00000736407
1.33126,1.40089,0.0000074349
1.33135,1.40089,0.00000748343
1.33143,1.40089,0.00000753045
1.33152,1.40089,0.00000757593
1.3316,1.40089,0.00000761992
1.33169,1.40089,0.00000766235
1.33177,1.40089,0.00000770322
1.33186,1.40089,0.00000774245
1.33194,1.40089,0.00000778002
1.33203,1.40089,0.00000781587
1.33212,1.40089,0.00000785091
1.3322,1.40089,0.00000788502
1.33229,1.40089,0.00000791817
1.33237,1.40089,0.00000795023
1.33246,1.40089,0.00000798118
1.33254,1.40089,0.00000801092
1.33263,1.40089,0.00000803952
1.33271,1.40089,0.00000806712
1.3328,1.40089,0.00000809377
1.33289,1.40089,0.00000811961
1.33297,1.40089,0.00000814468
1.33306,1.40089,0.00000816914
1.33314,1.40089,0.00000819304
1.33323,1.40089,0.00000821653
1.33331,1.40089,0.00000823969
1.3334,1.40089,0.00000826265
1.33349,1.40089,0.00000828548
1.33357,1.40089,0.00000830825
1.33366,1.40089,0.00000833094
1.33374,1.40089,0.00000835362
1.33383,1.40089,0.00000837629
1.33391,1.40089,0.00000839901
1.334,1.40089,0.00000842177
1.33409,1.40088,0.00000844462
1.33417,1.40088,0.00000846755
1.33426,1.40088,0.00000849054
1.33434,1.40088,0.00000851362
1.33443,1.40088,0.00000853675
1.33452,1.40088,0.00000855994
1.3346,1.40088,0.00000858314
1.33469,1.40088,0.00000860635
1.33477,1.40088,0.00000862953
1.33486,1.40088,0.00000865267
1.33495,1.40088,0.00000867573
1.33503,1.40088,0.00000869873
1.33512,1.40088,0.00000872163
1.3352,1.40088,0.00000874448
1.33529,1.40088,0.00000876726
1.33538,1.40088,0.00000879003
1.33546,1.40088,0.00000881276
1.33555,1.40088,0.00000883553
1.33563,1.40088,0.00000885834
1.33572,1.40088,0.00000887606
1.33581,1.40088,0.00000889394
1.33589,1.40088,0.00000891199
1.33598,1.40088,0.00000893024
1.33606,1.40088,0.00000894867
1.33615,1.40088,0.00000896727
1.33624,1.40088,0.00000898601
1.33632,1.40088,0.00000900486
1.33641,1.40088,0.00000902378
1.33649,1.40088,0.00000904273
1.33658,1.40088,0.00000906167
1.33667,1.40088,0.00000908057
1.33675,1.40088,0.00000909939
1.33684,1.40088,0.00000911813
1.33692,1.40088,0.00000913674
1.33701,1.40088,0.00000915522
1.3371,1.40088,0.00000917356
1.33718,1.40088,0.00000919177
1.33727,1.40088,0.00000920982
1.33736,1.40088,0.00000922771
1.33744,1.40088,0.00000924543
1.33753,1.40088,0.00000926297
1.33761,1.40088,0.00000928033
1.3377,1.40088,0.00000929746
1.33779,1.40088,0.00000931437
1.33787,1.40088,0.00000933104
1.33796,1.40088,0.00000934748
1.33805,1.40088,0.00000936367
1.33813,1.40088,0.00000937963
1.33822,1.40087,0.00000939537
1.3383,1.40087,0.00000941091
1.33839,1.40087,0.00000942626
1.33848,1.40087,0.00000944147
1.33856,1.40087,0.00000945656
1.33865,1.40087,0.00000947156
1.33874,1.40087,0.00000948649
1.33882,1.40087,0.00000950138
1.33891,1.40087,0.00000951624
1.339,1.40087,0.00000953107
1.33908,1.40087,0.00000954587
1.33917,1.40087,0.00000956064
1.33926,1.40087,0.00000957536
1.33934,1.40087,0.00000959002
1.33943,1.40087,0.00000960462
1.33951,1.40087,0.00000961913
1.3396,1.40087,0.00000963355
