"Wavelength, µm","n","k"
1.32538,1.31282,0.0000271786
1.32547,1.31282,0.0000271731
1.32555,1.31282,0.0000271695
1.32564,1.31282,0.0000271682
1.32572,1.31282,0.0000271684
1.32581,1.31282,0.0000271681
1.32589,1.31282,0.0000271659
1.32598,1.31282,0.0000271622
1.32606,1.31282,0.0000271599
1.32615,1.31282,0.0000271619
1.32623,1.31281,0.0000271692
1.32632,1.31281,0.0000271795
1.3264,1.31281,0.0000271885
1.32649,1.31281,0.0000271929
1.32657,1.31281,0.000027192
1.32666,1.31281,0.000027188
1.32674,1.31281,0.0000271837
1.32683,1.31281,0.000027181
1.32691,1.31281,0.0000271794
1.327,1.31281,0.0000271775
1.32708,1.31281,0.0000271743
1.32717,1.31281,0.0000271699
1.32725,1.31281,0.0000271657
1.32733,1.31281,0.0000271633
1.32742,1.31281,0.0000271644
1.3275,1.31281,0.0000271694
1.32759,1.31281,0.0000271773
1.32767,1.31281,0.0000271855
1.32776,1.31281,0.0000271923
1.32784,1.31281,0.0000271972
1.32793,1.31281,0.0000272017
1.32801,1.31281,0.0000272064
1.3281,1.31281,0.0000272109
1.32818,1.3128,0.0000272137
1.32827,1.3128,0.0000272146
1.32836,1.3128,0.0000272148
1.32844,1.3128,0.0000272159
1.32853,1.3128,0.0000272178
1.32861,1.3128,0.0000272193
1.3287,1.3128,0.0000272191
1.32878,1.3128,0.000027218
1.32887,1.3128,0.0000272177
1.32895,1.3128,0.0000272193
1.32904,1.3128,0.0000272225
1.32912,1.3128,0.000027225
1.32921,1.3128,0.0000272253
1.32929,1.3128,0.0000272233
1.32938,1.3128,0.0000272205
1.32946,1.3128,0.0000272185
1.32955,1.3128,0.0000272175
1.32963,1.3128,0.0000272156
1.32972,1.3128,0.0000272106
1.3298,1.3128,0.000027202
1.32989,1.3128,0.0000271912
1.32997,1.3128,0.0000271813
1.33006,1.31279,0.0000271749
1.33014,1.31279,0.0000271738
1.33023,1.31279,0.0000271776
1.33031,1.31279,0.0000271843
1.3304,1.31279,0.000027191
1.33049,1.31279,0.0000271949
1.33057,1.31279,0.0000271951
1.33066,1.31279,0.000027193
1.33074,1.31279,0.0000271905
1.33083,1.31279,0.0000271883
1.33091,1.31279,0.0000271854
1.331,1.31279,0.0000271802
1.33108,1.31279,0.0000271721
1.33117,1.31279,0.0000271619
1.33125,1.31279,0.0000271504
1.33134,1.31279,0.0000271386
1.33142,1.31279,0.0000271275
1.33151,1.31279,0.0000271187
1.3316,1.31279,0.0000271134
1.33168,1.31279,0.0000271117
1.33177,1.31279,0.0000271127
1.33185,1.31279,0.0000271159
1.33194,1.31279,0.0000271216
1.33202,1.31278,0.0000271299
1.33211,1.31278,0.0000271398
1.33219,1.31278,0.0000271492
1.33228,1.31278,0.0000271563
1.33237,1.31278,0.0000271606
1.33245,1.31278,0.0000271615
1.33254,1.31278,0.0000271589
1.33262,1.31278,0.0000271527
1.33271,1.31278,0.000027144
1.33279,1.31278,0.000027135
1.33288,1.31278,0.0000271269
1.33297,1.31278,0.0000271203
1.33305,1.31278,0.0000271151
1.33314,1.31278,0.000027112
1.33322,1.31278,0.0000271114
1.33331,1.31278,0.000027113
1.33339,1.31278,0.0000271152
1.33348,1.31278,0.0000271162
1.33357,1.31278,0.000027116
1.33365,1.31278,0.0000271155
1.33374,1.31278,0.0000271157
1.33382,1.31278,0.0000271167
1.33391,1.31277,0.0000271183
1.33399,1.31277,0.0000271214
1.33408,1.31277,0.0000271275
1.33417,1.31277,0.0000271368
1.33425,1.31277,0.0000271469
1.33434,1.31277,0.0000271544
1.33442,1.31277,0.0000271565
1.33451,1.31277,0.0000271537
1.33459,1.31277,0.0000271489
1.33468,1.31277,0.0000271457
1.33477,1.31277,0.0000271461
1.33485,1.31277,0.0000271495
1.33494,1.31277,0.0000271547
1.33502,1.31277,0.0000271608
1.33511,1.31277,0.0000271683
1.3352,1.31277,0.0000271781
1.33528,1.31277,0.0000271902
1.33537,1.31277,0.0000272035
1.33545,1.31277,0.0000272163
1.33554,1.31277,0.0000272267
1.33563,1.31277,0.0000272332
1.33571,1.31276,0.0000272363
1.3358,1.31276,0.0000272379
1.33588,1.31276,0.000027241
1.33597,1.31276,0.0000272481
1.33606,1.31276,0.0000272594
1.33614,1.31276,0.0000272729
1.33623,1.31276,0.0000272856
1.33631,1.31276,0.0000272958
1.3364,1.31276,0.0000273029
1.33649,1.31276,0.0000273077
1.33657,1.31276,0.0000273106
1.33666,1.31276,0.0000273118
1.33675,1.31276,0.0000273114
1.33683,1.31276,0.0000273099
1.33692,1.31276,0.0000273085
1.337,1.31276,0.0000273092
1.33709,1.31276,0.0000273139
1.33718,1.31276,0.0000273233
1.33726,1.31276,0.0000273362
1.33735,1.31276,0.0000273504
1.33743,1.31276,0.0000273637
1.33752,1.31275,0.0000273744
1.33761,1.31275,0.0000273811
1.33769,1.31275,0.0000273831
1.33778,1.31275,0.000027381
1.33787,1.31275,0.0000273774
1.33795,1.31275,0.0000273767
1.33804,1.31275,0.000027382
1.33812,1.31275,0.0000273934
1.33821,1.31275,0.0000274071
1.3383,1.31275,0.0000274191
1.33838,1.31275,0.0000274275
1.33847,1.31275,0.0000274333
1.33856,1.31275,0.0000274395
1.33864,1.31275,0.0000274489
1.33873,1.31275,0.0000274631
1.33882,1.31275,0.000027481
1.3389,1.31275,0.0000274998
1.33899,1.31275,0.0000275158
1.33908,1.31275,0.0000275274
1.33916,1.31275,0.0000275357
1.33925,1.31275,0.0000275443
1.33933,1.31275,0.0000275564
1.33942,1.31274,0.0000275724
1.33951,1.31274,0.0000275901
1.33959,1.31274,0.0000276064
1.33968,1.31274,0.0000276196
1.33977,1.31274,0.00002763
1.33985,1.31274,0.0000276389
1.33994,1.31274,0.0000276479
1.34003,1.31274,0.0000276584
1.34011,1.31274,0.0000276715
1.3402,1.31274,0.0000276872
1.34029,1.31274,0.0000277038
