Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
559.2554,0.0265289,-1.17549e-38,0.0899655,0.00360159,0.00945097,-1.17549e-38,0.0714589,-1.17549e-38,0.0307529,0.00145006,0.0242079
559.7375,0.0500146,-1.17549e-38,0.0809835,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0573753,0.0125763,0.0258238,0.0126694,0.0365616
560.2197,0.0695679,-1.17549e-38,0.0692605,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0475916,0.0187654,-1.17549e-38,0.0030033,0.0496451
560.7018,0.0808509,-1.17549e-38,0.0555378,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0421499,0.0114989,-1.17549e-38,-1.17549e-38,0.0606966
561.1839,0.0825311,-1.17549e-38,0.041689,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0391369,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0651859
561.666,0.0762394,-1.17549e-38,0.0305711,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0364717,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0588441
562.1481,0.0650807,-1.17549e-38,0.0247258,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0333674,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0403331
562.6302,0.0519054,-1.17549e-38,0.0248988,-1.17549e-38,0.0280008,-1.17549e-38,0.0308084,0.0026108,-1.17549e-38,-1.17549e-38,0.012753
563.1124,0.0385809,0.00302103,0.0294343,-1.17549e-38,0.0513016,-1.17549e-38,0.0309296,0.0238943,-1.17549e-38,-1.17549e-38,-1.17549e-38
563.5945,0.026477,0.025386,0.0349267,-1.17549e-38,0.0618283,-1.17549e-38,0.0356703,0.0462769,-1.17549e-38,-1.17549e-38,-1.17549e-38
564.0766,0.0172061,0.0503832,0.0376793,0.00692605,0.05904,-1.17549e-38,0.0454244,0.0642699,0.0323982,0.00972389,-1.17549e-38
564.5587,0.0124422,0.0759639,0.0351108,0.0162568,0.050709,-1.17549e-38,0.0584891,0.0753762,0.0761885,0.016212,-1.17549e-38
565.0408,0.0126788,0.0985501,0.0264934,0.0219928,0.0478743,-1.17549e-38,0.0717235,0.0794938,0.118624,0.019936,-1.17549e-38
565.5229,0.0160667,0.113873,0.0129694,0.023552,0.0570438,-1.17549e-38,0.0821289,0.0773765,0.149787,0.0240414,-1.17549e-38
566.0051,0.0187478,0.117646,-1.17549e-38,0.0216397,0.0754155,-1.17549e-38,0.0885089,0.0697544,0.15631,0.030047,-1.17549e-38
566.4872,0.0170585,0.106227,-1.17549e-38,0.0182957,0.0926821,0.014731,0.0922144,0.0575941,0.12844,0.0382646,-1.17549e-38
566.9693,0.0103488,0.0780372,-1.17549e-38,0.0165698,0.0982043,0.020158,0.0963012,0.042759,0.0680293,0.0479583,-1.17549e-38
567.4514,0.00217456,0.0357303,-1.17549e-38,0.0194673,0.0882978,0.00737136,0.103282,0.0280169,-1.17549e-38,0.0567988,0.00621737
567.9335,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0282891,0.0681833,-1.17549e-38,0.112742,0.0160639,-1.17549e-38,0.0607612,0.0357096
568.4156,0.00315217,-1.17549e-38,-1.17549e-38,0.0412485,0.0474909,-1.17549e-38,0.120553,0.00826676,-1.17549e-38,0.0557399,0.068846
568.8978,0.0152563,-1.17549e-38,-1.17549e-38,0.0534964,0.0334305,-1.17549e-38,0.120613,0.00419079,-1.17549e-38,0.0405266,0.101672
569.3799,0.0281621,-1.17549e-38,-1.17549e-38,0.0590333,0.0270936,-1.17549e-38,0.10839,0.00238397,-1.17549e-38,0.0190098,0.129255
569.862,0.0334603,-1.17549e-38,-1.17549e-38,0.0537179,0.0250528,-1.17549e-38,0.0841338,0.00187317,0.0140449,-1.17549e-38,0.146622
570.3441,0.0259441,0.0182266,-1.17549e-38,0.0375997,0.0238066,0.0158799,0.0534657,0.00318427,0.0659235,-1.17549e-38,0.150294
570.8262,0.006766,0.0642819,-1.17549e-38,0.0150585,0.0227044,0.0449736,0.0246615,0.00795553,0.0952353,-1.17549e-38,0.139983
571.3083,-1.17549e-38,0.0943766,0.00972491,-1.17549e-38,0.0231421,0.0583818,0.00423778,0.0172491,0.100898,0.0114789,0.119289
571.7905,-1.17549e-38,0.102458,0.027724,-1.17549e-38,0.0256073,0.0542681,-1.17549e-38,0.0297184,0.0898093,0.0305326,0.0944417
572.2726,-1.17549e-38,0.0909199,0.0430881,-1.17549e-38,0.0279246,0.0384981,-1.17549e-38,0.0411059,0.0695766,0.0424459,0.0712997
572.7547,-1.17549e-38,0.0679584,0.0516613,-1.17549e-38,0.0265447,0.0206288,-1.17549e-38,0.0458441,0.0440524,0.0409253,0.0523647
573.2368,-1.17549e-38,0.0435061,0.0502846,-1.17549e-38,0.0196112,0.00869272,-1.17549e-38,0.0400643,0.0142968,0.0259435,0.0360476
573.7189,-1.17549e-38,0.0259329,0.0381454,-1.17549e-38,0.00877117,0.005846,-1.17549e-38,0.0240829,-1.17549e-38,0.00314492,0.0190384
574.201,-1.17549e-38,0.0204145,0.0177513,0.0156027,-1.17549e-38,0.0103763,-1.17549e-38,0.00266684,-1.17549e-38,-1.17549e-38,8.62258e-05
574.6832,-1.17549e-38,0.0283111,-1.17549e-38,0.0289671,-1.17549e-38,0.0180772,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
575.1653,-1.17549e-38,0.0466117,-1.17549e-38,0.0356876,-1.17549e-38,0.0248038,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
575.6474,-1.17549e-38,0.0678457,-1.17549e-38,0.0333338,-1.17549e-38,0.0277353,-1.17549e-38,-1.17549e-38,0.0139116,-1.17549e-38,-1.17549e-38
576.1295,-1.17549e-38,0.0821783,-1.17549e-38,0.0224234,-1.17549e-38,0.0253216,-1.17549e-38,-1.17549e-38,0.068287,-1.17549e-38,-1.17549e-38
