Wavelength (nm)	Reflectance
1155	0.9633885
1156	0.9634362
1157	0.9634837
1158	0.9635311
1159	0.9635783
1160	0.9636255
1161	0.9636725
1162	0.9637193
1163	0.9637661
1164	0.9638127
1165	0.9638592
1166	0.9639056
1167	0.9639518
1168	0.9639979
1169	0.9640439
1170	0.9640898
1171	0.9641356
1172	0.9641812
1173	0.9642267
1174	0.9642721
1175	0.9643173
1176	0.9643625
1177	0.9644075
1178	0.9644524
1179	0.9644971
1180	0.9645418
1181	0.9645786
1182	0.9645824
1183	0.9645862
1184	0.96459
1185	0.9645938
1186	0.9645977
1187	0.9646016
1188	0.9646055
1189	0.9646095
1190	0.9646135
1191	0.9646175
1192	0.9646215
1193	0.9646256
1194	0.9646296
1195	0.9646338
1196	0.9646379
1197	0.964642
1198	0.9646462
1199	0.9646504
1200	0.9646547
1201	0.9646589
1202	0.9646632
1203	0.9646675
1204	0.9646719
1205	0.9646762
1206	0.9646806
1207	0.964685
1208	0.9646895
1209	0.9646939
1210	0.9646984
1211	0.9647029
1212	0.9647074
1213	0.964712
1214	0.9647165
1215	0.9647211
1216	0.9647258
1217	0.9647304
1218	0.9647351
1219	0.9647398
1220	0.9647445
1221	0.9647492
1222	0.964754
1223	0.9647588
1224	0.9647636
1225	0.9647684
1226	0.9647732
1227	0.9647781
1228	0.964783
1229	0.9647879
1230	0.9647928
1231	0.9647978
1232	0.9648028
1233	0.9648078
1234	0.9648128
1235	0.9648178
1236	0.9648229
1237	0.964828
1238	0.9648331
1239	0.9648382
1240	0.9648305
1241	0.9647497
1242	0.9646689
1243	0.964588
1244	0.9645071
1245	0.964426
1246	0.9643449
1247	0.9642636
1248	0.9641823
1249	0.9641009
1250	0.9640195
1251	0.9639379
1252	0.9638563
1253	0.9637745
1254	0.9636927
1255	0.9636108
1256	0.9635288
1257	0.9634468
1258	0.9633646
1259	0.9632824
1260	0.9632001
1261	0.9631177
1262	0.9630352
1263	0.9629527
1264	0.96287
1265	0.9627873
1266	0.9627045
1267	0.9626216
1268	0.9625386
1269	0.9624555
1270	0.9623724
1271	0.9622892
1272	0.9622058
1273	0.9621224
1274	0.962039
1275	0.9619554
1276	0.9618718
1277	0.961788
1278	0.9617042
1279	0.9616203
1280	0.9615364
1281	0.9614523
1282	0.9613682
1283	0.9612839
1284	0.9611996
1285	0.9611152
1286	0.9610308
1287	0.9609462
1288	0.9608616
1289	0.9607769
1290	0.9606921
1291	0.9606072
1292	0.9605222
