Wavenumber (cm-1),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
531.7748,-1.17549e-38,0.0047293,0.0350196,0.00419765,0.147634,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0784094,-1.17549e-38,-1.17549e-38,0.00892536
532.2569,0.0206341,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.111797,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0282508,-1.17549e-38,0.102813,-1.17549e-38,-1.17549e-38,0.0120985
532.739,0.0369577,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0607485,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0713293,-1.17549e-38,0.124141,-1.17549e-38,-1.17549e-38,0.0152284
533.2211,0.0364568,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00984053,0.00515994,-1.17549e-38,-1.17549e-38,0.101702,-1.17549e-38,0.136527,-1.17549e-38,0.0161724,0.0177202
533.7032,0.0270707,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0120445,-1.17549e-38,-1.17549e-38,0.116393,0.00340666,0.132009,-1.17549e-38,0.0537513,0.018651
534.1854,0.0183013,-1.17549e-38,0.00697219,-1.17549e-38,-1.17549e-38,0.0108714,-1.17549e-38,-1.17549e-38,0.117331,0.0250739,0.105291,-1.17549e-38,0.0887525,0.0173377
534.6675,0.0152153,0.0102556,0.0388786,-1.17549e-38,-1.17549e-38,0.0106225,0.0363676,-1.17549e-38,0.107719,0.0361127,0.0596812,-1.17549e-38,0.112135,0.0138251
535.1496,0.0163606,0.0253376,0.043933,-1.17549e-38,-1.17549e-38,0.0169401,0.0887837,0.0279911,0.0895061,0.0303833,0.00870143,-1.17549e-38,0.117156,0.00892983
535.6317,0.0161795,0.0387409,0.0233626,0.00384391,-1.17549e-38,0.0293225,0.135747,0.0561086,0.0637578,0.0097433,-1.17549e-38,-1.17549e-38,0.10182,0.00380982
536.1138,0.00964533,0.0508314,-1.17549e-38,0.0266231,0.0307759,0.0432658,0.159638,0.0763417,0.0328922,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0696723,-1.17549e-38
536.5959,-1.17549e-38,0.0641802,-1.17549e-38,0.0624239,0.0667207,0.0546827,0.151317,0.0860606,0.00202649,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0285493,-1.17549e-38
537.0781,-1.17549e-38,0.0798977,0.00414409,0.100325,0.0892314,0.0624751,0.115165,0.0845465,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
537.5602,-1.17549e-38,0.0945152,0.0517343,0.124903,0.0896483,0.0673603,0.0665313,0.0720269,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.000437077,-1.17549e-38,-1.17549e-38
