Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb),Int deg30 (arb)
504.7762,-1.17549e-38,0.174979,0.0475183,0.0605837,-1.17549e-38,0.0807295,0.131138,0.0712386,0.173741,-1.17549e-38,-1.17549e-38,0.00746725,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0769353,-1.17549e-38,-1.17549e-38,0.189698,0.249515,-1.17549e-38,0.00359502,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0274255,-1.17549e-38,-1.17549e-38
505.2583,-1.17549e-38,0.11431,0.11684,0.0289533,-1.17549e-38,0.0915798,0.10101,0.143866,0.217841,-1.17549e-38,0.0133949,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.124394,-1.17549e-38,0.0192423,0.180058,0.303401,-1.17549e-38,-1.17549e-38,0.00149411,-1.17549e-38,-1.17549e-38,0.043584,-1.17549e-38,-1.17549e-38
505.7404,-1.17549e-38,0.0429274,0.155361,-1.17549e-38,-1.17549e-38,0.106237,0.0293868,0.189869,0.211991,0.0532745,0.0466757,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.172958,-1.17549e-38,0.0798297,0.15052,0.328637,0.014865,0.00146537,0.00261986,-1.17549e-38,-1.17549e-38,0.0682147,0.00936888,-1.17549e-38
506.2226,-1.17549e-38,-1.17549e-38,0.163977,-1.17549e-38,-1.17549e-38,0.110575,-1.17549e-38,0.2,0.152279,0.150424,0.0685255,-1.17549e-38,-1.17549e-38,0.0144979,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.211539,-1.17549e-38,0.140265,0.112326,0.326256,0.106739,0.0262174,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0876801,0.0186588,0.044746
506.7047,-1.17549e-38,-1.17549e-38,0.153113,-1.17549e-38,0.00849815,0.0933151,-1.17549e-38,0.178974,0.0566495,0.215406,0.0701089,-1.17549e-38,-1.17549e-38,0.0411639,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.230444,-1.17549e-38,0.181539,0.0837537,0.305839,0.199315,0.062905,-1.17549e-38,0.0318085,-1.17549e-38,0.089444,0.0190256,0.112752
507.1868,-1.17549e-38,0.0160162,0.135305,-1.17549e-38,0.0389654,0.0529842,-1.17549e-38,0.137285,-1.17549e-38,0.232717,0.0541305,-1.17549e-38,0.0920859,0.0382202,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.224563,0.0206253,0.18776,0.0784364,0.282736,0.26616,0.0965289,-1.17549e-38,0.0616037,0.000384623,0.0693956,0.0126576,0.166806
507.6689,-1.17549e-38,0.0937965,0.117679,0.0182052,0.0503059,-1.17549e-38,-1.17549e-38,0.0823309,-1.17549e-38,0.206958,0.0315557,-1.17549e-38,0.158005,0.0110284,-1.17549e-38,-1.17549e-38,0.0175497,0.195152,0.0946181,0.156009,0.094712,0.271404,0.287874,0.111894,-1.17549e-38,0.068424,0.0276194,0.0345516,0.00447513,0.18269
508.151,-1.17549e-38,0.17311,0.100593,0.039696,0.0428748,-1.17549e-38,-1.17549e-38,0.0167416,-1.17549e-38,0.157687,0.0140199,-1.17549e-38,0.175831,-1.17549e-38,0.0388505,-1.17549e-38,0.0630202,0.148618,0.119917,0.0993729,0.115848,0.278174,0.262611,0.102054,-1.17549e-38,0.0471713,0.0565343,-1.17549e-38,-1.17549e-38,0.151273
508.6331,0.00803935,0.213112,0.082696,0.0526666,0.0286336,-1.17549e-38,0.0484854,-1.17549e-38,-1.17549e-38,0.106262,0.0081102,-1.17549e-38,0.147055,-1.17549e-38,0.0725876,-1.17549e-38,0.105719,0.0932218,0.105839,0.0410437,0.121771,0.297779,0.204003,0.0711625,0.0082006,0.00279816,0.0853181,-1.17549e-38,-1.17549e-38,0.0810134
509.1153,0.0180188,0.186798,0.066796,0.0547671,0.0245256,-1.17549e-38,0.108816,-1.17549e-38,-1.17549e-38,0.0656314,0.0145515,-1.17549e-38,0.0840149,-1.17549e-38,0.077377,-1.17549e-38,0.145566,0.0359852,0.0757148,0.00381445,0.10315,0.315418,0.130651,0.0308514,0.0229684,-1.17549e-38,0.113843,-1.17549e-38,0.00178927,-1.17549e-38
