Wavenumber (cm-1),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb)
534.1854,0.0235642,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0553705,-1.17549e-38,0.0318559,-1.17549e-38,-1.17549e-38,0.0934408,0.0345194
534.6675,0.0457679,-1.17549e-38,0.0108664,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0459495,-1.17549e-38,0.0121204,0.0296515,0.00779864,0.0779909,0.034496
535.1496,0.0573789,-1.17549e-38,0.0249504,0.0171141,-1.17549e-38,0.035187,0.028109,-1.17549e-38,-1.17549e-38,0.0512083,0.01806,0.052734,0.0300309
535.6317,0.052447,-1.17549e-38,0.0293561,0.0360627,-1.17549e-38,0.0737843,0.0060333,-1.17549e-38,-1.17549e-38,0.0537794,0.023527,0.0241521,0.0178707
536.1138,0.0283083,-1.17549e-38,0.0216487,0.0464555,-1.17549e-38,0.0963376,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.036773,0.0215262,-1.17549e-38,-1.17549e-38
536.5959,-1.17549e-38,0.0144264,0.00574923,0.0459698,-1.17549e-38,0.098978,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0058202,0.0123075,-1.17549e-38,-1.17549e-38
537.0781,-1.17549e-38,0.0208046,-1.17549e-38,0.0381086,-1.17549e-38,0.0853488,-1.17549e-38,-1.17549e-38,0.00997279,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
537.5602,-1.17549e-38,0.0160676,-1.17549e-38,0.0308201,-1.17549e-38,0.0647016,0.0109245,0.0277618,0.029118,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
538.0423,-1.17549e-38,0.00508797,-1.17549e-38,0.0310567,-1.17549e-38,0.0469713,0.0401419,0.0510036,0.0461938,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
538.5244,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0395374,-1.17549e-38,0.0377763,0.0662736,0.0606633,0.0593743,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
539.0065,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0499684,-1.17549e-38,0.0363629,0.0813482,0.0579406,0.0675558,0.0199211,-1.17549e-38,-1.17549e-38,-1.17549e-38
539.4886,0.0145561,-1.17549e-38,-1.17549e-38,0.0533525,-1.17549e-38,0.0374761,0.0821376,0.0490633,0.0688576,0.0525733,-1.17549e-38,-1.17549e-38,-1.17549e-38
539.9708,0.0230091,-1.17549e-38,-1.17549e-38,0.0440315,-1.17549e-38,0.0355725,0.0706934,0.0416275,0.0604466,0.0625896,-1.17549e-38,-1.17549e-38,0.00532734
540.4529,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0229546,-1.17549e-38,0.0284247,0.0526543,0.0394708,0.0400412,0.0434997,-1.17549e-38,-1.17549e-38,0.0297747
540.935,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0179206,0.0344974,0.0395658,0.00805925,0.0013819,-1.17549e-38,-1.17549e-38,0.0529974
