Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb)
528.4,0.0117094,0.00305173,-1.17549e-38,-1.17549e-38,0.0657025,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0392861,0.0179759,-1.17549e-38,0.109805
528.8821,-1.17549e-38,0.0485633,-1.17549e-38,-1.17549e-38,0.0604922,-1.17549e-38,-1.17549e-38,0.0390148,0.0344731,-1.17549e-38,-1.17549e-38,0.0328561
529.3642,-1.17549e-38,0.0895839,-1.17549e-38,-1.17549e-38,0.0466461,-1.17549e-38,-1.17549e-38,0.0795773,0.027921,-1.17549e-38,-1.17549e-38,-1.17549e-38
529.8463,-1.17549e-38,0.12477,-1.17549e-38,0.0213576,0.0370669,-1.17549e-38,-1.17549e-38,0.0886065,0.0163399,-1.17549e-38,0.00480706,-1.17549e-38
530.3284,-1.17549e-38,0.15434,-1.17549e-38,0.0567422,0.0413672,-1.17549e-38,-1.17549e-38,0.0649174,-1.17549e-38,0.0241296,0.00562918,-1.17549e-38
530.8105,-1.17549e-38,0.177724,-1.17549e-38,0.0807377,0.0597642,-1.17549e-38,-1.17549e-38,0.0160711,-1.17549e-38,0.0605187,0.00700773,-1.17549e-38
531.2927,-1.17549e-38,0.192408,-1.17549e-38,0.0819893,0.0827692,0.00184848,0.00510882,-1.17549e-38,-1.17549e-38,0.0849313,0.0152902,-1.17549e-38
531.7748,-1.17549e-38,0.194319,-1.17549e-38,0.0588563,0.0964361,0.0433798,0.0153338,-1.17549e-38,-1.17549e-38,0.0874252,0.0296266,-1.17549e-38
532.2569,0.00296301,0.179343,0.00440713,0.0191284,0.0897725,0.076174,0.0126012,-1.17549e-38,-1.17549e-38,0.0655627,0.0422193,0.0155895
532.739,0.00931358,0.14543,0.0130673,-1.17549e-38,0.0603473,0.0812233,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0250964,0.0439779,0.045206
