Wavenumber (cm-1),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb),Int deg26 (arb),Int deg28 (arb)
519.7219,0.0288061,0.0546584,0.147638,0.093278,0.0152156,0.00748366,0.154866,-1.17549e-38,-1.17549e-38,0.0725993,-1.17549e-38,0.0977749,0.0443601,0.0288479,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0134575
520.204,0.0132073,0.0907349,0.131517,0.0930987,-1.17549e-38,0.0208143,0.155561,-1.17549e-38,-1.17549e-38,0.0684167,-1.17549e-38,0.07602,0.0450422,0.0440728,0.00896314,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0349011
520.6861,0.00418051,0.112115,0.108123,0.0825004,-1.17549e-38,0.0280594,0.145913,-1.17549e-38,-1.17549e-38,0.0537679,-1.17549e-38,0.0566559,0.0338838,0.0443061,0.0248066,-1.17549e-38,-1.17549e-38,0.0189462,0.0758935
521.1682,0.00293579,0.108335,0.0805237,0.0624327,-1.17549e-38,0.0294758,0.121652,-1.17549e-38,-1.17549e-38,0.0354044,-1.17549e-38,0.0389797,0.0115326,0.023866,0.0459602,-1.17549e-38,-1.17549e-38,0.0482143,0.124998
521.6503,0.00502745,0.0780868,0.0505989,0.0349947,-1.17549e-38,0.0258798,0.0827195,-1.17549e-38,-1.17549e-38,0.0196895,-1.17549e-38,0.0216691,-1.17549e-38,-1.17549e-38,0.0666979,-1.17549e-38,-1.17549e-38,0.0762053,0.166619
522.1324,0.00489023,0.0320235,0.0187925,0.00353571,-1.17549e-38,0.0172455,0.0366605,-1.17549e-38,-1.17549e-38,0.0115587,-1.17549e-38,0.00354962,-1.17549e-38,-1.17549e-38,0.0756497,0.00355986,-1.17549e-38,0.0973241,0.186542
522.6146,0.000260926,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.025469,0.00269979,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.013618,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0628004,0.0148198,-1.17549e-38,0.105823,0.177204
523.0967,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0462865,-1.17549e-38,-1.17549e-38,0.0166394,-1.17549e-38,0.0255374,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0273369,0.0131866,-1.17549e-38,0.0962152,0.140565
523.5788,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0566675,-1.17549e-38,-1.17549e-38,0.0543718,-1.17549e-38,0.044386,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.066465,0.0869199
524.0609,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0583772,-1.17549e-38,-1.17549e-38,0.0647684,0.0108058,0.0659979,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0217254,0.0300325
