Wavenumber (cm-1),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb)
548.6489,0.0537612,0.000204955,-1.17549e-38,0.0312862,0.0137922,0.0655311,0.00935315,-1.17549e-38,0.0830303,0.0602468,0.00844713
549.131,0.0819692,0.0103261,-1.17549e-38,0.0738792,0.0216949,0.0474901,-1.17549e-38,-1.17549e-38,0.0828379,0.0641462,0.0253897
549.6131,0.104481,0.0315547,-1.17549e-38,0.118696,0.015161,0.00846944,-1.17549e-38,-1.17549e-38,0.0734419,0.0620378,0.0225618
550.0952,0.112436,0.0600593,0.0118351,0.146981,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0526318,0.0552258,-1.17549e-38
550.5773,0.102694,0.0877959,0.0338773,0.144959,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0227191,0.0447879,-1.17549e-38
551.0594,0.0801295,0.107159,0.0584184,0.111067,-1.17549e-38,-1.17549e-38,0.0172307,-1.17549e-38,-1.17549e-38,0.0315039,-1.17549e-38
551.5416,0.055058,0.114884,0.0799503,0.0579545,-1.17549e-38,-1.17549e-38,0.0307182,-1.17549e-38,-1.17549e-38,0.0159363,-1.17549e-38
552.0237,0.0370855,0.112755,0.0894225,0.00691783,-1.17549e-38,-1.17549e-38,0.0348888,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
552.5058,0.0292251,0.105148,0.0796035,-1.17549e-38,0.0102249,-1.17549e-38,0.0333845,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
552.9879,0.0259739,0.0953889,0.0504457,-1.17549e-38,0.0550429,-1.17549e-38,0.030948,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0339238
553.47,0.0166974,0.0834585,0.0103326,0.00054627,0.0840258,-1.17549e-38,0.0300549,0.0176439,-1.17549e-38,-1.17549e-38,0.0906734
553.9521,-1.17549e-38,0.0666156,-1.17549e-38,0.0308862,0.0900608,0.00793838,0.0304386,0.0310141,-1.17549e-38,-1.17549e-38,0.119961
554.4343,-1.17549e-38,0.042661,-1.17549e-38,0.0529963,0.077761,0.00872564,0.0311223,0.0217946,0.00769425,-1.17549e-38,0.110798
554.9164,-1.17549e-38,0.0136216,-1.17549e-38,0.0601375,0.0597249,0.000826921,0.0325954,-1.17549e-38,0.0166002,-1.17549e-38,0.0674522
555.3985,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0561611,0.0491751,-1.17549e-38,0.0369098,-1.17549e-38,0.0243651,-1.17549e-38,0.00796073
555.8806,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0510957,0.0534205,-1.17549e-38,0.0455766,-1.17549e-38,0.0275565,-1.17549e-38,-1.17549e-38
556.3627,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0544636,0.0712734,-1.17549e-38,0.057229,-1.17549e-38,0.0224307,-1.17549e-38,-1.17549e-38
556.8448,-1.17549e-38,0.00162191,-1.17549e-38,0.0704668,0.0948363,-1.17549e-38,0.0672562,-1.17549e-38,0.00850802,0.0155131,-1.17549e-38
557.327,-1.17549e-38,0.0334755,-1.17549e-38,0.0966113,0.113961,-1.17549e-38,0.069959,-1.17549e-38,-1.17549e-38,0.0378123,-1.17549e-38
557.8091,-1.17549e-38,0.0580807,0.00268536,0.125066,0.12096,-1.17549e-38,0.061788,-1.17549e-38,-1.17549e-38,0.0455912,-1.17549e-38
558.2912,-1.17549e-38,0.0622444,0.019101,0.145593,0.113499,-1.17549e-38,0.0435025,-1.17549e-38,-1.17549e-38,0.0401855,0.026122
558.7733,-1.17549e-38,0.0415863,0.0320535,0.149318,0.0945564,-1.17549e-38,0.0200369,-1.17549e-38,-1.17549e-38,0.0272901,0.0387151
559.2554,-1.17549e-38,0.00258359,0.041364,0.132421,0.069821,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.013456,0.041046
