Wavenumber (cm-1),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb)
549.131,-1.17549e-38,0.00426569,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0197922,0.0481352,0.00704
549.6131,-1.17549e-38,0.0110225,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0173035,0.0407418,0.00654225
550.0952,-1.17549e-38,0.0109378,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0211565,0.0303012,0.000837288
550.5773,0.00134973,0.00803665,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0268822,0.0133307,-1.17549e-38
551.0594,-1.17549e-38,0.00737848,-1.17549e-38,-1.17549e-38,0.00187609,0.0262957,-1.17549e-38,-1.17549e-38
551.5416,-1.17549e-38,0.0113868,-1.17549e-38,-1.17549e-38,0.0310545,0.0129154,-1.17549e-38,-1.17549e-38
552.0237,-1.17549e-38,0.0187163,-1.17549e-38,-1.17549e-38,0.0451695,-1.17549e-38,-1.17549e-38,-1.17549e-38
552.5058,-1.17549e-38,0.0260147,-1.17549e-38,-1.17549e-38,0.0400177,-1.17549e-38,-1.17549e-38,-1.17549e-38
552.9879,-1.17549e-38,0.0309191,-1.17549e-38,0.00865013,0.0201546,-1.17549e-38,-1.17549e-38,0.00114779
553.47,-1.17549e-38,0.0340328,-1.17549e-38,0.0419148,-1.17549e-38,-1.17549e-38,0.0525616,0.00916512
553.9521,-1.17549e-38,0.0385268,-1.17549e-38,0.0773633,-1.17549e-38,-1.17549e-38,0.121876,0.0180933
554.4343,-1.17549e-38,0.0476955,0.00600466,0.104198,-1.17549e-38,-1.17549e-38,0.182729,0.0264911
554.9164,0.00626044,0.0621947,0.0273428,0.113304,-1.17549e-38,-1.17549e-38,0.219755,0.0319876
555.3985,0.00659009,0.0788639,0.0460606,0.10255,-1.17549e-38,0.0522948,0.226007,0.0322983
555.8806,-1.17549e-38,0.0918583,0.0612111,0.0783737,-1.17549e-38,0.107878,0.203892,0.0266632
556.3627,-1.17549e-38,0.0952741,0.0701312,0.05202,-1.17549e-38,0.146874,0.16238,0.0167811
556.8448,-1.17549e-38,0.085721,0.0709391,0.0327848,-1.17549e-38,0.161777,0.113103,0.0065601
557.327,0.0206308,0.0636563,0.0643826,0.0228983,-1.17549e-38,0.150072,0.0674434,0.000571908
557.8091,0.0515207,0.0331664,0.0534976,0.0175279,-1.17549e-38,0.113624,0.0348136,0.00172471
558.2912,0.0791559,0.000547345,0.0415314,0.00959013,-1.17549e-38,0.0581016,0.021063,0.0091976
558.7733,0.0923139,-1.17549e-38,0.0299731,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0264375,0.017887
559.2554,0.084817,-1.17549e-38,0.0182784,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0441009,0.0201688
559.7375,0.0580087,-1.17549e-38,0.00540322,-1.17549e-38,0.0208593,-1.17549e-38,0.061243,0.00961287
560.2197,0.0203899,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0461011,-1.17549e-38,0.0638701,-1.17549e-38
560.7018,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.066972,-1.17549e-38,0.0437914,-1.17549e-38
561.1839,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0803542,-1.17549e-38,0.00397558,-1.17549e-38
561.666,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0862541,-1.17549e-38,-1.17549e-38,-1.17549e-38
562.1481,-1.17549e-38,0.0183947,0.00191321,-1.17549e-38,0.0864138,0.02397,-1.17549e-38,-1.17549e-38
562.6302,0.0115161,0.0427248,0.0281447,-1.17549e-38,0.0825335,0.0397255,-1.17549e-38,-1.17549e-38
563.1124,0.0470697,0.0604394,0.0546343,-1.17549e-38,0.0753544,0.0288146,-1.17549e-38,-1.17549e-38
563.5945,0.076342,0.0635477,0.0733011,0.00347814,0.0648735,-1.17549e-38,-1.17549e-38,-1.17549e-38
564.0766,0.0925152,0.0471261,0.079068,0.0171507,0.0511224,-1.17549e-38,0.0212835,-1.17549e-38
564.5587,0.0928468,0.0133622,0.0719986,0.027854,0.0348216,-1.17549e-38,0.0457095,-1.17549e-38
565.0408,0.0787701,-1.17549e-38,0.0566366,0.0313664,0.0176205,-1.17549e-38,0.0515617,0.00366235
565.5229,0.055334,-1.17549e-38,0.0390321,0.0269338,0.00194497,-1.17549e-38,0.0442328,0.00619478
566.0051,0.0298661,-1.17549e-38,0.0234904,0.0179615,-1.17549e-38,-1.17549e-38,0.0327655,0.00954172
566.4872,0.0096508,-1.17549e-38,0.0112026,0.0101415,-1.17549e-38,-1.17549e-38,0.0230678,0.0131476
566.9693,-1.17549e-38,-1.17549e-38,0.00150169,0.00825848,-1.17549e-38,-1.17549e-38,0.0146651,0.015528
567.4514,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0136982,-1.17549e-38,0.00948323,0.0026501,0.0164649
567.9335,0.00578237,-1.17549e-38,-1.17549e-38,0.0241633,0.00118603,0.0236884,-1.17549e-38,0.017882
568.4156,0.0164376,0.0154865,-1.17549e-38,0.0355418,0.00904227,0.0396366,-1.17549e-38,0.0226717
568.8978,0.0293109,0.0258934,0.0078528,0.0444565,0.0152774,0.0577936,-1.17549e-38,0.0323774
569.3799,0.0442044,0.0279232,0.0208554,0.0498115,0.020015,0.0743792,-1.17549e-38,0.0454966
569.862,0.0596553,0.0232965,0.027502,0.052621,0.0233086,0.082737,-1.17549e-38,0.0577186
570.3441,0.0708575,0.014611,0.0220786,0.0546544,0.0240954,0.0772354,-1.17549e-38,0.0640493
570.8262,0.0708174,0.00527911,0.00600406,0.0570581,0.0206551,0.0572889,-1.17549e-38,0.0614608
571.3083,0.0545908,-1.17549e-38,-1.17549e-38,0.0598218,0.0123962,0.0288145,-1.17549e-38,0.0503864
571.7905,0.0234336,-1.17549e-38,-1.17549e-38,0.0621394,0.00137922,0.00202443,-1.17549e-38,0.0342478
572.2726,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0631001,-1.17549e-38,-1.17549e-38,0.0286835,0.017514
572.7547,-1.17549e-38,0.00473178,0.00408138,0.0621227,-1.17549e-38,-1.17549e-38,0.077422,0.00360824
573.2368,-1.17549e-38,0.00826998,0.0221067,0.0589372,-1.17549e-38,0.0021543,0.120083,-1.17549e-38
573.7189,-1.17549e-38,0.00873908,0.0297929,0.0533157,0.00395741,0.0225913,0.147313,-1.17549e-38
574.201,-1.17549e-38,0.00630273,0.0246205,0.044893,0.0180108,0.039395,0.152234,-1.17549e-38
574.6832,-1.17549e-38,0.00258446,0.0135321,0.0332929,0.0323664,0.045776,0.133678,-1.17549e-38
575.1653,-1.17549e-38,-1.17549e-38,0.00728221,0.0185762,0.0456219,0.0401443,0.0974529,-1.17549e-38
575.6474,-1.17549e-38,-1.17549e-38,0.0115585,0.00182539,0.0569848,0.026136,0.0547347,-1.17549e-38
576.1295,-1.17549e-38,-1.17549e-38,0.0215303,-1.17549e-38,0.0647711,0.0101604,0.0176915,0.00243521
576.6116,0.0304109,-1.17549e-38,0.0247517,-1.17549e-38,0.0661826,-1.17549e-38,-1.17549e-38,0.00916897
577.0938,0.0593706,-1.17549e-38,0.0108419,-1.17549e-38,0.0590235,-1.17549e-38,-1.17549e-38,0.0134052
577.5759,0.073793,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0438478,-1.17549e-38,-1.17549e-38,0.0143717
578.058,0.0724384,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0244376,-1.17549e-38,-1.17549e-38,0.0126408
578.5401,0.0598951,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0060917,-1.17549e-38,-1.17549e-38,0.00976767
579.0222,0.0424003,-1.17549e-38,-1.17549e-38,0.0135336,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00772518
579.5043,0.0235294,-1.17549e-38,-1.17549e-38,0.0225758,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00831526
579.9865,0.00299094,-1.17549e-38,0.00106083,0.0233238,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0124341
580.4686,-1.17549e-38,-1.17549e-38,0.0521941,0.0168293,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0192213
580.9507,-1.17549e-38,-1.17549e-38,0.0937824,0.00709229,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0256643
581.4328,-1.17549e-38,0.0184996,0.119004,-1.17549e-38,-1.17549e-38,0.018869,-1.17549e-38,0.0274467
581.9149,-1.17549e-38,0.0342506,0.127525,-1.17549e-38,-1.17549e-38,0.0498318,0.0125638,0.0211216
582.397,-1.17549e-38,0.0401358,0.122612,-1.17549e-38,-1.17549e-38,0.0678064,0.0454268,0.00649768
582.8792,-1.17549e-38,0.0364958,0.108283,0.00500529,-1.17549e-38,0.0721488,0.0663701,-1.17549e-38
583.3613,-1.17549e-38,0.0258734,0.0881096,0.0135918,-1.17549e-38,0.0670929,0.071418,-1.17549e-38
583.8434,0.0194465,0.0116364,0.0651636,0.0212663,-1.17549e-38,0.0581679,0.0604523,-1.17549e-38
584.3255,0.0438589,-1.17549e-38,0.042011,0.025706,-1.17549e-38,0.0488436,0.0376194,-1.17549e-38
584.8076,0.0560309,-1.17549e-38,0.0204151,0.0252827,-1.17549e-38,0.0393412,0.0105797,-1.17549e-38
585.2897,0.0562995,-1.17549e-38,0.00134023,0.0194268,-1.17549e-38,0.0280246,-1.17549e-38,-1.17549e-38
585.7719,0.0479005,-1.17549e-38,-1.17549e-38,0.00899188,-1.17549e-38,0.0140202,-1.17549e-38,-1.17549e-38
586.254,0.0352259,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
586.7361,0.0227688,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
587.2182,0.0145851,0.0115529,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
587.7003,0.01352,0.0234301,0.000950822,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
588.1824,0.0199673,0.0326174,0.0275776,-1.17549e-38,0.00242712,-1.17549e-38,-1.17549e-38,-1.17549e-38
588.6646,0.0309445,0.0380934,0.0548256,-1.17549e-38,0.0115938,-1.17549e-38,-1.17549e-38,0.00754314
589.1467,0.0406281,0.0394658,0.0751854,0.00512929,0.0201079,0.00249321,-1.17549e-38,0.0274086
589.6288,0.0426672,0.0369953,0.0829449,0.012505,0.0244342,0.00299796,-1.17549e-38,0.0333917
590.1109,0.0333002,0.0317167,0.0759404,0.0127735,0.022758,-1.17549e-38,-1.17549e-38,0.0284548
590.593,0.0136731,0.0253479,0.0562535,0.00516298,0.0162025,-1.17549e-38,0.0131423,0.0206844
591.0751,-1.17549e-38,0.0197732,0.0301482,-1.17549e-38,0.00849535,-1.17549e-38,0.0163854,0.0179144
591.5573,-1.17549e-38,0.0163005,0.00695362,-1.17549e-38,0.00396278,-1.17549e-38,0.00266998,0.0230856
592.0394,-1.17549e-38,0.0152243,-1.17549e-38,-1.17549e-38,0.00485681,-1.17549e-38,-1.17549e-38,0.0330555
592.5215,-1.17549e-38,0.0160626,0.0034295,-1.17549e-38,0.00990722,-1.17549e-38,-1.17549e-38,0.0413628
