Wavenumber (cm-1),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
965.6798,0.0165329,-1.17549e-38,0.011807,0.00633033,-1.17549e-38,-1.17549e-38,0.00529531,-1.17549e-38,0.000680052,0.0178116,-1.17549e-38,0.0209552,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0168844,0.000269562,0.00526084,0.00104838,0.0150609,0.00406137
966.1619,0.0175855,-1.17549e-38,0.0125751,0.00343199,-1.17549e-38,-1.17549e-38,0.00349176,-1.17549e-38,0.00237487,0.0189936,-1.17549e-38,0.023176,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0123417,0.000149097,0.00994746,0.00306759,0.0105366,0.00275774
966.644,0.0174868,-1.17549e-38,0.0110822,0.00160367,0.00495212,-1.17549e-38,0.00122754,0.00335661,-1.17549e-38,0.0177204,-1.17549e-38,0.0221877,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00633707,0.000449643,0.0109962,0.0060859,0.00558347,0.002418
967.1262,0.0165788,0.00602952,0.00807716,0.000584016,0.00975311,-1.17549e-38,-1.17549e-38,0.00623676,-1.17549e-38,0.0144683,0.00324272,0.0179088,0.00445273,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00203976,0.0084267,0.00998833,0.00263606,0.00467729
967.6083,0.0152313,0.0107646,0.00515348,-1.17549e-38,0.0124227,-1.17549e-38,-1.17549e-38,0.00713901,-1.17549e-38,0.0100091,0.0118199,0.0111864,0.0100307,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0047165,0.00392654,0.0137799,0.00266073,0.0100011
968.0904,0.0135164,0.0130308,0.0039807,-1.17549e-38,0.012906,-1.17549e-38,-1.17549e-38,0.00645721,-1.17549e-38,0.00525255,0.0187564,0.00355241,0.0150438,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00704663,-1.17549e-38,0.0160935,0.00458357,0.0172182
968.5725,0.0110937,0.0127771,0.00537046,-1.17549e-38,0.0120998,0.0091182,-1.17549e-38,0.0053177,-1.17549e-38,0.00106738,0.0221208,-1.17549e-38,0.0179716,-1.17549e-38,0.00294349,-1.17549e-38,0.00721753,-1.17549e-38,0.0160257,0.00605985,0.024041
969.0546,0.00744882,0.0103943,0.00876873,-1.17549e-38,0.0112924,0.024452,-1.17549e-38,0.00471638,-1.17549e-38,-1.17549e-38,0.0214473,-1.17549e-38,0.0180954,-1.17549e-38,0.00626318,-1.17549e-38,0.00425776,-1.17549e-38,0.0137412,0.00500325,0.0282446
969.5367,0.00239139,0.00624815,0.012519,-1.17549e-38,0.0115096,0.03451,-1.17549e-38,0.00483056,0.00762948,-1.17549e-38,0.0177322,-1.17549e-38,0.0158753,-1.17549e-38,0.00759619,-1.17549e-38,-1.17549e-38,0.00034368,0.0103968,0.000838669,0.028735
970.0189,-1.17549e-38,0.000650205,0.0147529,-1.17549e-38,0.0130586,0.0361544,-1.17549e-38,0.00496251,0.0179098,-1.17549e-38,0.012642,-1.17549e-38,0.0126168,-1.17549e-38,0.00708443,-1.17549e-38,-1.17549e-38,0.00226794,0.00739939,-1.17549e-38,0.0258492
970.501,-1.17549e-38,-1.17549e-38,0.0143809,-1.17549e-38,0.0153875,0.0295599,-1.17549e-38,0.00411633,0.0227009,-1.17549e-38,0.00751882,-1.17549e-38,0.00965328,-1.17549e-38,0.00572903,0.00392805,-1.17549e-38,0.00314441,0.00551376,-1.17549e-38,0.0208026
970.9831,-1.17549e-38,-1.17549e-38,0.0116277,-1.17549e-38,0.0172277,0.0178703,-1.17549e-38,0.00178127,0.0209613,-1.17549e-38,0.00285376,-1.17549e-38,0.00760451,-1.17549e-38,0.0047862,0.0117558,-1.17549e-38,0.00295146,0.00446887,-1.17549e-38,0.0147985
971.4652,-1.17549e-38,-1.17549e-38,0.00785489,-1.17549e-38,0.0169549,0.00548736,-1.17549e-38,-1.17549e-38,0.0144111,-1.17549e-38,-1.17549e-38,0.00536914,0.00620122,-1.17549e-38,0.00512212,0.0162726,-1.17549e-38,0.00247622,0.00334087,-1.17549e-38,0.00848398
971.9473,-1.17549e-38,-1.17549e-38,0.0048149,-1.17549e-38,0.0131402,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00634613,-1.17549e-38,-1.17549e-38,0.0108888,0.00473353,-1.17549e-38,0.00678969,0.0177639,-1.17549e-38,0.00268163,0.00138884,-1.17549e-38,0.00208175
