Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb),Int deg22 (arb),Int deg24 (arb)
1451.1714,0.011195,0.00435184,0.00381565,0.000671753,-1.17549e-38,-1.17549e-38,0.0086811,0.00308362,-1.17549e-38,0.0105737,0.000552482,-1.17549e-38,0.0024656
1451.6534,0.00821198,0.00509398,0.00301544,0.00255217,0.000314652,-1.17549e-38,0.00636135,0.00771008,-1.17549e-38,0.00897551,0.00123992,-1.17549e-38,0.00241536
1452.1356,0.00477545,0.00541372,0.00165092,0.00334306,0.00209596,0.00181841,0.00303516,0.0104537,-1.17549e-38,0.00566414,0.00153865,-1.17549e-38,0.00204113
1452.6177,0.00171485,0.00548346,0.000388108,0.00308165,0.00368573,0.00617074,-1.17549e-38,0.0105055,-1.17549e-38,0.0017655,0.00129873,0.0018218,0.00150698
1453.0999,-1.17549e-38,0.00565731,-1.17549e-38,0.0023153,0.00458401,0.0109427,-1.17549e-38,0.00835097,0.0022526,-1.17549e-38,0.000559749,0.00588194,0.0012216
1453.5819,-1.17549e-38,0.00609099,-1.17549e-38,0.00174144,0.0046904,0.014651,-1.17549e-38,0.00519209,0.00540753,-1.17549e-38,-1.17549e-38,0.0100289,0.00157607
1454.0641,-1.17549e-38,0.0065738,0.000521864,0.00183075,0.00425623,0.0164014,-1.17549e-38,0.00213561,0.00771295,-1.17549e-38,-1.17549e-38,0.0134124,0.0027142
1454.5461,-1.17549e-38,0.00663493,0.00117976,0.00263679,0.00377417,0.0160058,-1.17549e-38,-1.17549e-38,0.00838827,-1.17549e-38,-1.17549e-38,0.0153882,0.00441465
1455.0283,-1.17549e-38,0.00579666,0.00160365,0.0037688,0.00392427,0.0136778,-1.17549e-38,-1.17549e-38,0.00691542,-1.17549e-38,-1.17549e-38,0.0156573,0.00605075
1455.5104,-1.17549e-38,0.00389234,0.00191604,0.0044427,0.00552169,0.00969178,0.00136296,-1.17549e-38,0.00331015,-1.17549e-38,-1.17549e-38,0.0142969,0.00662379
