Wavenumber (cm-1),Int deg-28 (arb),Int deg-26 (arb),Int deg-24 (arb),Int deg-22 (arb),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb)
539.0065,-1.17549e-38,0.00882222,-1.17549e-38,0.0353975,0.0848712,0.0149635,0.0239513,0.0539236,-1.17549e-38,-1.17549e-38,0.00649775,0.0295208,0.0477567,-1.17549e-38,-1.17549e-38
539.4886,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.027115,0.0811818,-1.17549e-38,0.00281817,0.0838041,-1.17549e-38,-1.17549e-38,0.00380454,0.0209033,0.0416466,0.0238592,-1.17549e-38
539.9708,-1.17549e-38,-1.17549e-38,0.0100175,0.0100851,0.0522309,-1.17549e-38,-1.17549e-38,0.100775,-1.17549e-38,-1.17549e-38,0.000304579,0.0215211,0.0480768,0.0612526,-1.17549e-38
540.4529,-1.17549e-38,-1.17549e-38,0.0316596,-1.17549e-38,0.0102803,-1.17549e-38,-1.17549e-38,0.108162,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0288049,0.0656722,0.0871098,-1.17549e-38
540.935,-1.17549e-38,-1.17549e-38,0.0450939,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00153895,0.109509,-1.17549e-38,0.0158591,0.0041607,0.0372345,0.0883639,0.102258,0.0160223
541.4171,-1.17549e-38,0.00822484,0.0442681,-1.17549e-38,-1.17549e-38,0.0149154,0.0231405,0.10598,0.0229734,0.0413174,0.0109993,0.0423067,0.106446,0.11246,0.0330648
541.8992,-1.17549e-38,0.0180487,0.0283412,-1.17549e-38,-1.17549e-38,0.0279329,0.0480154,0.0962597,0.0493442,0.0741239,0.0131979,0.0436749,0.109503,0.122214,0.0434653
542.3813,-1.17549e-38,0.0166043,0.00303814,-1.17549e-38,-1.17549e-38,0.0325362,0.0678425,0.0786176,0.069006,0.103936,0.00385106,0.0447099,0.0908378,0.129966,0.045783
542.8635,-1.17549e-38,0.00491456,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0263389,0.0746633,0.0533603,0.0820455,0.117346,-1.17549e-38,0.0485747,0.0516338,0.128447,0.0402144
543.3456,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0107583,0.0646375,0.0238793,0.0878322,0.106902,-1.17549e-38,0.0540276,0.00222324,0.110062,0.0291999
543.8277,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0407077,-1.17549e-38,0.0833108,0.0767569,-1.17549e-38,0.0547908,-1.17549e-38,0.0736779,0.0173483
544.3098,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0117556,-1.17549e-38,0.064801,0.0405383,-1.17549e-38,0.043707,-1.17549e-38,0.0281254,0.0100726
544.7919,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0321889,0.0125714,-1.17549e-38,0.0189854,-1.17549e-38,-1.17549e-38,0.0111471
545.274,0.0329796,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0204477
545.7562,0.0640374,-1.17549e-38,0.0125294,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0278766,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0335163
546.2383,0.0796619,-1.17549e-38,0.0339835,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0532335,-1.17549e-38,0.00857119,0.0275229,0.0436623
546.7204,0.0806539,-1.17549e-38,0.0538287,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.00158564,-1.17549e-38,-1.17549e-38,0.0578653,-1.17549e-38,0.015122,0.0724112,0.045503
547.2025,0.073408,-1.17549e-38,0.0699066,-1.17549e-38,0.00170167,-1.17549e-38,0.0166816,0.0225714,-1.17549e-38,-1.17549e-38,0.042218,-1.17549e-38,0.014382,0.104726,0.0376611
547.6846,0.0655938,-1.17549e-38,0.0807513,0.0441928,0.00122799,-1.17549e-38,0.0396454,0.042691,-1.17549e-38,-1.17549e-38,0.0138028,0.0175973,0.0162837,0.112519,0.0229517
548.1667,0.0607901,-1.17549e-38,0.0851668,0.0880384,-1.17549e-38,0.0109805,0.0649249,0.0575538,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.032603,0.0264651,0.0952539,0.00628806
548.6489,0.0562847,-1.17549e-38,0.0812789,0.112468,-1.17549e-38,0.0220713,0.084266,0.0628736,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0371344,0.0416706,0.0617155,-1.17549e-38
