Wavenumber (cm-1),Int deg-20 (arb),Int deg-18 (arb),Int deg-16 (arb),Int deg-14 (arb),Int deg-12 (arb),Int deg-10 (arb),Int deg-8 (arb),Int deg-6 (arb),Int deg-4 (arb),Int deg-2 (arb),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb),Int deg18 (arb),Int deg20 (arb)
4666.8901,1.15272,2.12865,3.56633,5.61266,7.2944,9.55484,11.7863,13.5662,15.135,16.2153,16.9774,15.2458,14.1001,12.1843,10.2143,7.79233,5.7314,4.01598,2.34993,1.48014,0.901889
4667.3721,1.18048,2.14593,3.60118,5.66725,7.36498,9.64118,11.8801,13.6726,15.2449,16.3205,17.0846,15.3627,14.2133,12.2926,10.3143,7.87619,5.79523,4.06597,2.37926,1.4945,0.902558
4667.854,1.20462,2.16364,3.63768,5.72265,7.43223,9.7243,11.9756,13.7825,15.3517,16.4265,17.1911,15.4763,14.3274,12.3994,10.41,7.96184,5.86056,4.113,2.40719,1.50821,0.902217
4668.3364,1.2206,2.18446,3.67556,5.7776,7.49823,9.80693,12.0749,13.8955,15.4555,16.5341,17.2931,15.5893,14.4429,12.5065,10.5051,8.05175,5.9293,4.15846,2.43384,1.52297,0.902738
4668.8184,1.22668,2.20972,3.71493,5.83097,7.56557,9.89073,12.1787,14.0085,15.5568,16.6413,17.3877,15.7029,14.5579,12.6155,10.6033,8.14642,6.00183,4.20375,2.45986,1.5406,0.906618
4669.3003,1.22479,2.23823,3.75612,5.88261,7.63541,9.97528,12.286,14.1171,15.6557,16.7441,17.4743,15.8166,14.6705,12.7267,10.7071,8.2438,6.07667,4.25,2.48618,1.56154,0.915937
4669.7827,1.21985,2.26668,3.79902,5.9338,7.70677,10.0587,12.3943,14.2178,15.7515,16.8386,17.5555,15.9285,14.7795,12.8405,10.8173,8.34053,6.15119,4.29811,2.51392,1.58402,0.931068
4670.2646,1.21738,2.29159,3.84246,5.98694,7.77767,10.1393,12.5009,14.3101,15.8433,16.9236,17.6351,16.0366,14.8865,12.9571,10.9326,8.43409,6.22299,4.34897,2.54424,1.60462,0.950046
4670.7471,1.22112,2.3115,3.88445,6.04435,7.84697,10.2175,12.6041,14.3962,15.9316,17.0012,17.716,16.1406,14.9942,13.0767,11.0501,8.5244,6.29134,4.40325,2.57794,1.62015,0.969189
4671.229,1.23162,2.32798,3.92318,6.10693,7.91561,10.296,12.7037,14.4797,16.018,17.0766,17.7989,16.2424,15.1045,13.1985,11.1661,8.61363,6.35769,4.46089,2.61498,1.62979,0.984742
4671.7109,1.24671,2.34494,3.95821,6.17344,7.98613,10.3789,12.8,14.5633,16.1051,17.155,17.8826,16.3447,15.2171,13.3203,11.2773,8.7045,6.42505,4.52082,2.65409,1.63592,0.994558
4672.1934,1.2632,2.36653,3.99105,6.24076,8.06088,10.4685,12.8936,14.6473,16.1948,17.2392,17.9654,16.4499,15.3294,13.4393,11.3819,8.79831,6.49646,4.58115,2.69306,1.64296,0.998877
4672.6753,1.27862,2.39506,4.02475,6.30538,8.14026,10.5647,12.9844,14.7303,16.2869,17.3281,18.0461,16.558,15.4377,13.5534,11.4806,8.8941,6.57349,4.64015,2.72972,1.6549,0.999847
4673.1572,1.2921,2.42987,4.06278,6.36526,8.22228,10.6635,13.0722,14.8112,16.3789,17.4173,18.1249,16.667,15.5398,13.6622,11.5764,8.9895,6.65561,4.69737,2.76326,1.6731,1.00029
4673.6396,1.30416,2.46772,4.10757,6.42108,8.30367,10.76,13.1567,14.8906,16.4672,17.5019,18.202,16.7742,15.6357,13.7674,11.6728,9.08237,6.74076,4.75418,2.79494,1.69575,1.00253
4674.1216,1.31596,2.50415,4.15935,6.47618,8.38168,10.8504,13.2388,14.9717,16.549,17.5789,18.2776,16.8775,15.7279,13.8717,11.7729,9.17218,6.82663,4.8131,2.82748,1.71943,1.00777
4674.604,1.32839,2.53532,4.21576,6.53487,8.45565,10.9344,13.3205,15.0582,16.6242,17.6487,18.3511,16.9763,15.8196,13.9771,11.8781,9.26028,6.91193,4.87618,2.86334,1.74138,1.01615
4675.0859,1.34174,2.55941,4.27251,6.60013,8.52736,11.0153,13.4044,15.1524,16.6951,17.7142,18.4221,17.0713,15.914,14.0838,11.9878,9.34914,6.99684,4.94348,2.90296,1.76092,1.02703
4675.5679,1.35559,2.57719,4.32488,6.67187,8.60022,11.0978,13.4924,15.253,16.7655,17.7785,18.4901,17.1628,16.0127,14.1908,12.1002,9.44109,7.08244,5.01268,2.94419,1.77925,1.03932
4676.0503,1.36914,2.59162,4.36975,6.74692,8.67767,11.1858,13.5849,15.3553,16.8382,17.8431,18.5548,17.2497,16.1159,14.2961,12.2136,9.53735,7.16949,5.0803,2.98356,1.79798,1.05176
4676.5322,1.38174,2.60661,4.40699,6.82063,8.7616,11.2801,13.6806,15.4534,16.9141,17.9076,18.6154,17.3301,16.222,14.3986,12.3269,9.63744,7.25767,5.14383,3.01853,1.81772,1.06322
4677.0142,1.39343,2.62543,4.43968,6.88923,8.85122,11.3782,13.7768,15.5428,16.9912,17.9704,18.6703,17.4025,16.3287,14.4979,12.4397,9.73942,7.34546,5.20339,3.04914,1.83785,1.07307
4677.4966,1.40522,2.6496,4.47267,6.9516,8.94317,11.4761,13.8709,15.6224,17.0667,18.0304,18.718,17.4683,16.4337,14.5944,12.5517,9.84062,7.43105,5.26184,3.07795,1.85736,1.08142
4677.9785,1.41866,2.67863,4.51033,7.0094,9.03282,11.5699,13.9617,15.6948,17.1377,18.0872,18.7575,17.5314,16.5347,14.6889,12.6625,9.93896,7.51348,5.32301,3.10831,1.87595,1.08904
4678.4609,1.43491,2.71098,4.55469,7.06581,9.11651,11.658,14.0497,15.7641,17.2034,18.1404,18.7895,17.5971,16.6306,14.7827,12.7708,10.0341,7.59353,5.3893,3.14219,1.89456,1.09695
4678.9429,1.45372,2.74535,4.60503,7.1238,9.19347,11.7415,14.1368,15.8331,17.2649,18.1886,18.8158,17.6698,16.7209,14.8775,12.8757,10.1276,7.67362,5.46006,3.17933,1.91489,1.10584
4679.4248,1.47318,2.78153,4.65892,7.18493,9.26634,11.8229,14.2247,15.9021,17.3238,18.2298,18.8388,17.7501,16.8055,14.9754,12.9765,10.2222,7.75681,5.53205,3.21802,1.93842,1.11574
4679.9072,1.4907,2.82015,4.71387,7.24925,9.3398,11.9055,14.3135,15.9692,17.3813,18.2625,18.8599,17.835,16.8848,15.0779,13.0741,10.3201,7.84547,5.60162,3.25692,1.96561,1.12608
4680.3892,1.50453,2.86151,4.7685,7.31597,9.41817,11.9914,14.4017,16.0323,17.4364,18.2871,18.8797,17.9188,16.9591,15.1849,13.1699,10.4219,7.94019,5.66731,3.29624,1.99559,1.13606
4680.8711,1.51494,2.90439,4.82254,7.3844,9.50316,12.0811,14.4864,16.0906,17.4869,18.3062,18.8973,17.9958,17.0288,15.2944,13.266,10.5264,8.03952,5.73104,3.33743,2.02651,1.14521
4681.3535,1.52395,2.94587,4.87616,7.45439,9.59337,12.1728,14.5653,16.1449,17.5302,18.3238,18.9108,18.0619,17.0943,15.4034,13.364,10.6317,8.14058,5.7972,3.38184,2.05622,1.15367
4681.8354,1.53397,2.98251,4.92928,7.52627,9.68546,12.2639,14.6379,16.1964,17.5648,18.3422,18.918,18.1163,17.1562,15.5091,13.4645,10.7368,8.24024,5.87002,3.42936,2.08309,1.1622
4682.3179,1.54624,3.01227,4.98148,7.60038,9.77624,12.3517,14.7052,16.2452,17.5912,18.3611,18.9166,18.1605,17.2153,15.6101,13.5667,10.8414,8.33615,5.951,3.47839,2.10666,1.17176
4682.7998,1.56043,3.03593,5.03248,7.67653,9.86403,12.4349,14.7694,16.2902,17.611,18.3773,18.9053,18.1976,17.2728,15.7062,13.6693,10.9458,8.42732,6.03793,3.52711,2.12789,1.1829
4683.2817,1.57546,3.057,5.08262,7.75386,9.94889,12.5144,14.8322,16.3297,17.6261,18.3871,18.8849,18.2313,17.3297,15.7974,13.7706,11.0493,8.51411,6.12608,3.57492,2.14884,1.19546
4683.7642,1.59101,3.08017,5.13273,7.83108,10.0317,12.5924,14.8944,16.3639,17.6377,18.3878,18.8585,18.2645,17.387,15.8836,13.8699,11.1505,8.59778,6.21078,3.62296,2.17177,1.20865
4684.2461,1.60811,3.10898,5.1837,7.90724,10.1132,12.6718,14.9559,16.3949,17.6458,18.3799,18.8304,18.299,17.4446,15.9642,13.9674,11.248,8.67993,6.28952,3.67304,2.19818,1.22167
