Wavenumber (cm-1),Int deg0 (arb),Int deg2 (arb),Int deg4 (arb),Int deg6 (arb),Int deg8 (arb),Int deg10 (arb),Int deg12 (arb),Int deg14 (arb),Int deg16 (arb)
573.7189,0.0253414,-1.17549e-38,0.0137954,-1.17549e-38,-1.17549e-38,0.0973186,0.0491789,0.0445486,-1.17549e-38
574.201,0.0434175,-1.17549e-38,0.0207005,-1.17549e-38,-1.17549e-38,0.104112,0.0483053,0.0326304,-1.17549e-38
574.6832,0.0520456,0.0154582,0.025497,-1.17549e-38,-1.17549e-38,0.112051,0.0453089,0.018712,-1.17549e-38
575.1653,0.0490463,0.0253854,0.026715,-1.17549e-38,-1.17549e-38,0.116504,0.0352842,0.00573239,-1.17549e-38
575.6474,0.0385193,0.0259862,0.023708,-1.17549e-38,0.0133251,0.11083,0.0156492,-1.17549e-38,-1.17549e-38
576.1295,0.0265812,0.0167244,0.017568,0.0134922,0.0200839,0.0907416,-1.17549e-38,-1.17549e-38,-1.17549e-38
576.6116,0.0166835,0.000535225,0.0110309,0.0353899,0.0181276,0.0585233,-1.17549e-38,-1.17549e-38,-1.17549e-38
577.0938,0.00799284,-1.17549e-38,0.00703164,0.0489804,0.0146219,0.0233147,-1.17549e-38,-1.17549e-38,-1.17549e-38
577.5759,-1.17549e-38,-1.17549e-38,0.00689954,0.0474169,0.0182113,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
578.058,-1.17549e-38,-1.17549e-38,0.00962162,0.0288634,0.0323578,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38
578.5401,-1.17549e-38,-1.17549e-38,0.0126761,-1.17549e-38,0.0523892,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.000459591
579.0222,-1.17549e-38,-1.17549e-38,0.0137516,-1.17549e-38,0.0678745,0.00296156,-1.17549e-38,-1.17549e-38,0.0163626
579.5043,-1.17549e-38,0.0158395,0.0122279,-1.17549e-38,0.068455,0.0160225,0.00808167,0.0206414,0.0356802
579.9865,-1.17549e-38,0.0270236,0.00957786,-1.17549e-38,0.0496363,0.022857,0.0445855,0.0311835,0.0513269
580.4686,-1.17549e-38,0.0283065,0.00850112,-1.17549e-38,0.0152621,0.0226791,0.0766161,0.0268131,0.0561318
580.9507,0.0107139,0.0213853,0.011344,-1.17549e-38,-1.17549e-38,0.0192161,0.0976598,0.0145676,0.0465591
581.4328,0.0256571,0.0118194,0.0187539,-1.17549e-38,-1.17549e-38,0.0177472,0.103945,0.00427534,0.024908
581.9149,0.035437,0.00533158,0.0292575,-1.17549e-38,-1.17549e-38,0.0223624,0.0957824,0.00211751,-1.17549e-38
582.397,0.0413538,0.00423735,0.0398038,-1.17549e-38,-1.17549e-38,0.0346804,0.076923,0.0074869,-1.17549e-38
582.8792,0.0454982,0.00639013,0.0469179,-1.17549e-38,-1.17549e-38,0.0535385,0.0526262,0.0145066,-1.17549e-38
583.3613,0.0488466,0.00711275,0.0480986,-1.17549e-38,-1.17549e-38,0.0749272,0.0278073,0.0161605,-1.17549e-38
583.8434,0.0506915,0.00262762,0.0430526,-1.17549e-38,-1.17549e-38,0.0925674,0.0061267,0.00812221,-1.17549e-38
584.3255,0.049526,-1.17549e-38,0.0341189,-1.17549e-38,-1.17549e-38,0.100131,-1.17549e-38,-1.17549e-38,-1.17549e-38
584.8076,0.0446105,-1.17549e-38,0.0252468,-1.17549e-38,0.00010077,0.0948688,-1.17549e-38,-1.17549e-38,-1.17549e-38
585.2897,0.0370865,-1.17549e-38,0.0197092,-1.17549e-38,0.0061725,0.0802516,-1.17549e-38,-1.17549e-38,0.00855467
585.7719,0.029825,-1.17549e-38,0.0179359,0.00527366,0.00567765,0.0648313,-1.17549e-38,-1.17549e-38,0.0180535
586.254,0.02604,-1.17549e-38,0.0171561,0.00966387,0.00109246,0.057171,-1.17549e-38,-1.17549e-38,0.0315174
586.7361,0.0274901,-1.17549e-38,0.0133176,0.0115581,-1.17549e-38,0.0601489,0.0130629,-1.17549e-38,0.0487388
587.2182,0.0333474,-1.17549e-38,0.00401872,0.0124266,-1.17549e-38,0.0688085,0.0277437,-1.17549e-38,0.0651942
587.7003,0.0404825,0.0112652,-1.17549e-38,0.0137793,-1.17549e-38,0.0734992,0.0378323,-1.17549e-38,0.0742537
588.1824,0.0451584,0.0313389,-1.17549e-38,0.0163838,-1.17549e-38,0.0662721,0.0406652,-1.17549e-38,0.0711964
588.6646,0.0451575,0.0481193,-1.17549e-38,0.0197487,-1.17549e-38,0.0459987,0.0361741,0.00209048,0.0563714
589.1467,0.0408457,0.0555914,-1.17549e-38,0.0221762,-1.17549e-38,0.0185696,0.0272357,0.0035282,0.0353672
589.6288,0.0343544,0.0495922,-1.17549e-38,0.0216069,-1.17549e-38,-1.17549e-38,0.0185205,0.00228496,0.0161778
590.1109,0.0275723,0.0303497,-1.17549e-38,0.0169962,-1.17549e-38,-1.17549e-38,0.0142205,0.00296343,0.00532662
590.593,0.0206352,0.00264923,-1.17549e-38,0.00941644,-1.17549e-38,-1.17549e-38,0.0157996,0.00789651,0.0051178
591.0751,0.0122147,-1.17549e-38,-1.17549e-38,0.00192009,0.00736368,-1.17549e-38,0.0210761,0.0157265,0.0130753
591.5573,0.00145455,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0149045,-1.17549e-38,0.0254612,0.022057,0.023553
592.0394,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0233536,-1.17549e-38,0.0249337,0.0219832,0.0307395
592.5215,-1.17549e-38,-1.17549e-38,-1.17549e-38,-1.17549e-38,0.0324734,-1.17549e-38,0.0188173,0.013175,0.0316048
593.0036,-1.17549e-38,-1.17549e-38,0.00941323,-1.17549e-38,0.0397838,-1.17549e-38,0.0102378,-1.17549e-38,0.0272372
593.4857,-1.17549e-38,-1.17549e-38,0.0161139,-1.17549e-38,0.0417366,-1.17549e-38,0.0039745,-1.17549e-38,0.0220006
593.9678,-1.17549e-38,-1.17549e-38,0.0165734,-1.17549e-38,0.0361336,-1.17549e-38,0.00345449,-1.17549e-38,0.0211765
